year_mode,1,2,3,4,5,6,7,8
"(1000, 1010]",0.16928446771378708,0.16579406631762653,0.0,0.0,0.0,0.6649214659685864,0.0,0.0
"(1440, 1450]",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"(1580, 1590]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(1590, 1600]",0.0,0.0,0.0,0.0,0.0,0.5590778097982709,0.0,0.4409221902017291
"(1610, 1620]",0.0,0.0,0.0,0.0,0.0,0.5169491525423728,0.0211864406779661,0.461864406779661
"(1620, 1630]",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"(1640, 1650]",0.0,0.0,0.0,0.0,0.0,0.8457508731082655,0.0,0.15424912689173456
"(1660, 1670]",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"(1670, 1680]",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"(1680, 1690]",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"(1690, 1700]",0.0,0.0,0.0,0.0,0.0,0.7901554404145078,0.0,0.20984455958549222
"(1700, 1710]",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"(1710, 1720]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"(1720, 1730]",0.0,0.0,0.0,0.0,0.0,0.9101019462465245,0.0,0.08989805375347544
"(1730, 1740]",0.0,0.0,0.0,0.0,0.0,0.8782936010037641,0.0,0.12170639899623588
"(1740, 1750]",0.0,0.0,0.0,0.0,0.0,0.7417930222287649,0.059031355807448845,0.19917562196378624
"(1750, 1760]",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"(1760, 1770]",0.0,0.0,0.0,0.0,0.0,0.484304932735426,0.0,0.515695067264574
"(1770, 1780]",0.0,0.0,0.0,0.0,0.0,0.5209003215434084,0.0,0.4790996784565916
"(1780, 1790]",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"(1790, 1800]",0.0,0.0,0.03335116818262886,0.05082932049224184,0.04779739611200285,0.5924736935972891,0.05457463884430177,0.2209737827715356
"(1800, 1810]",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"(1810, 1820]",0.0,0.0,0.0,0.0,0.0,0.7152542372881356,0.0,0.2847457627118644
"(1820, 1830]",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"(1830, 1840]",0.0,0.0,0.0,0.0,0.0,0.29178470254957506,0.0,0.7082152974504249
"(1840, 1850]",0.0,0.0,0.0,0.09937888198757763,0.0,0.6255545696539485,0.1557231588287489,0.11934338952972494
"(1850, 1860]",0.0,0.0,0.0,0.02915129151291513,0.0,0.6453874538745388,0.06642066420664207,0.25904059040590405
"(1860, 1870]",0.0,0.0,0.1086082059533387,0.0,0.048672566371681415,0.5341914722445696,0.0,0.3085277554304103
"(1870, 1880]",0.0,0.0184709283649213,0.013250883392226149,0.0069868294249919695,0.0,0.5995020880179891,0.06729842595566977,0.29449084484420174
"(1880, 1890]",0.011810119020265613,0.006939019346537383,0.018565323284775517,0.0,0.010845089839621342,0.5605440926428014,0.07628325904140434,0.31501309682459444
"(1890, 1900]",0.008650182500543497,0.009073537993294965,0.017311807041431627,0.081902124786892,0.04482991407027701,0.40931610924860123,0.1333455381763676,0.2955707861825921
"(1900, 1910]",0.01740025982593009,0.01268839062741904,0.030613687306897504,0.06102543736243025,0.05200557346813767,0.30711290311723805,0.20368064296820834,0.31547310532373907
"(1910, 1920]",0.011828578200456255,0.02017598435694605,0.016842947293573905,0.06880129173703078,0.05083992533996978,0.20025627351642816,0.2762050780671348,0.35504992148846026
"(1920, 1930]",0.014006832218589175,0.01698383947684129,0.01639314268986589,0.0842239524933416,0.038803028758569676,0.13210437037211284,0.33861823998494506,0.35886659400573445
"(1930, 1940]",0.01696120735241238,0.01499143346659052,0.01061033906550754,0.06854813122660067,0.03983702434587643,0.08579753368445545,0.37762812784229116,0.3856262030162658
"(1940, 1950]",0.011705664399553345,0.014338645822759111,0.008609532027205359,0.06536772916455182,0.026767587047000305,0.0221487666226779,0.5280491828240788,0.3230128920921734
"(1950, 1960]",0.021373137557123927,0.016826208052783863,0.00745788377815635,0.0520510532435575,0.03581839322895541,0.009548146345420621,0.5296030393986101,0.3273221383953922
"(1960, 1970]",0.017795963147359237,0.022314325309243956,0.0085475157829903,0.06704963942924601,0.032193129908125034,0.002807736231586511,0.44415644407945387,0.4051352461119951
"(1970, 1980]",0.013625345034448849,0.029837579851774987,0.012442747940050864,0.06687133250964045,0.050539977671613896,0.0053934898261575655,0.38485693354624934,0.43643259362006404
"(1980, 1990]",0.011227482523859626,0.023204117593416087,0.009831156313032018,0.0322655294714062,0.02897180774235428,0.014149569678540997,0.3532224835975796,0.5271278530798112
"(1990, 2000]",0.02393613592708615,0.07547601552126439,0.014799345116087197,0.06416916974986357,0.09399560832441677,0.009887715770068712,0.3677845672566638,0.34995144233454945
"(2000, 2010]",0.03255699235403967,0.0696184066805257,0.029354850075754908,0.10397237588527536,0.09265635460343187,0.008578978894330715,0.35929671258940843,0.3039653289172334
"(2010, 2020]",0.022177020963772512,0.06213683729066973,0.03873551321929535,0.16041687106264257,0.1040823461295578,0.004624991536279307,0.4081586121985361,0.19966780759924663
"(2020, 2030]",0.030794284039939595,0.045873058804967656,0.041556787702571735,0.12101336578988889,0.13384384790497442,0.004434602294498163,0.42012644533098925,0.2023576081321703
